nome_streaming,id_filme_TMDB
DIRECTV,8355
AMC on Demand,8355
Apple iTunes,206647
Google Play Movies,206647
Amazon Video,206647
YouTube,206647
Vudu,206647
Microsoft Store,206647
Redbox,206647
DIRECTV,206647
Apple iTunes,315635
Google Play Movies,315635
Amazon Video,315635
YouTube,315635
Vudu,315635
Microsoft Store,315635
Redbox,315635
DIRECTV,315635
AMC on Demand,315635
Apple iTunes,57800
Google Play Movies,57800
Amazon Video,57800
YouTube,57800
Vudu,57800
Microsoft Store,57800
Redbox,57800
DIRECTV,57800
AMC on Demand,57800
Spectrum On Demand,57800
Apple iTunes,672
Google Play Movies,672
YouTube,672
Vudu,672
Microsoft Store,672
Redbox,672
DIRECTV,672
AMC on Demand,672
Spectrum On Demand,672
Apple iTunes,328111
Google Play Movies,328111
Amazon Video,328111
YouTube,328111
Vudu,328111
Microsoft Store,328111
Redbox,328111
AMC on Demand,328111
Apple iTunes,209112
Google Play Movies,209112
Amazon Video,209112
YouTube,209112
Vudu,209112
Microsoft Store,209112
Redbox,209112
DIRECTV,209112
AMC on Demand,209112
Apple iTunes,120
Google Play Movies,120
Amazon Video,120
YouTube,120
Vudu,120
Microsoft Store,120
Redbox,120
DIRECTV,120
AMC on Demand,120
Spectrum On Demand,120
Apple iTunes,452557
Google Play Movies,452557
Amazon Video,452557
YouTube,452557
KoreaOnDemand,452557
Vudu,452557
Microsoft Store,452557
Redbox,452557
Apple iTunes,283995
Google Play Movies,283995
Amazon Video,283995
YouTube,283995
Vudu,283995
Microsoft Store,283995
Redbox,283995
DIRECTV,283995
AMC on Demand,283995
Apple iTunes,150540
Google Play Movies,150540
Amazon Video,150540
YouTube,150540
Vudu,150540
Microsoft Store,150540
Redbox,150540
DIRECTV,150540
AMC on Demand,150540
Apple iTunes,335983
Google Play Movies,335983
Amazon Video,335983
YouTube,335983
Vudu,335983
Microsoft Store,335983
Redbox,335983
DIRECTV,335983
AMC on Demand,335983
Apple iTunes,284053
Google Play Movies,284053
Amazon Video,284053
Microsoft Store,284053
Redbox,284053
DIRECTV,284053
AMC on Demand,284053
Apple iTunes,1895
Google Play Movies,1895
Amazon Video,1895
YouTube,1895
Vudu,1895
Microsoft Store,1895
Redbox,1895
DIRECTV,1895
AMC on Demand,1895
Spectrum On Demand,1895
Apple iTunes,101299
Google Play Movies,101299
Amazon Video,101299
YouTube,101299
Vudu,101299
Microsoft Store,101299
Redbox,101299
DIRECTV,101299
AMC on Demand,101299
Apple iTunes,8373
Google Play Movies,8373
Amazon Video,8373
YouTube,8373
Vudu,8373
Microsoft Store,8373
Redbox,8373
DIRECTV,8373
AMC on Demand,8373
Spectrum On Demand,8373
Google Play Movies,50620
Amazon Video,50620
YouTube,50620
Vudu,50620
Microsoft Store,50620
Redbox,50620
DIRECTV,50620
AMC on Demand,50620
Spectrum On Demand,50620
Apple iTunes,27205
Google Play Movies,27205
Amazon Video,27205
YouTube,27205
Vudu,27205
Microsoft Store,27205
Redbox,27205
DIRECTV,27205
AMC on Demand,27205
Spectrum On Demand,27205
Apple iTunes,297762
Google Play Movies,297762
Amazon Video,297762
YouTube,297762
Vudu,297762
Microsoft Store,297762
Redbox,297762
DIRECTV,297762
AMC on Demand,297762
Apple iTunes,557
Google Play Movies,557
Amazon Video,557
YouTube,557
Vudu,557
Microsoft Store,557
Redbox,557
DIRECTV,557
AMC on Demand,557
Apple iTunes,810
Google Play Movies,810
Amazon Video,810
YouTube,810
Vudu,810
Redbox,810
AMC on Demand,810
Apple iTunes,259316
Google Play Movies,259316
Amazon Video,259316
YouTube,259316
Vudu,259316
Microsoft Store,259316
Redbox,259316
DIRECTV,259316
AMC on Demand,259316
Apple iTunes,354912
Google Play Movies,354912
Amazon Video,354912
YouTube,354912
Vudu,354912
Microsoft Store,354912
Redbox,354912
DIRECTV,354912
AMC on Demand,354912
Apple iTunes,512200
Google Play Movies,512200
Amazon Video,512200
YouTube,512200
Vudu,512200
Microsoft Store,512200
DIRECTV,512200
AMC on Demand,512200
Apple iTunes,166426
Google Play Movies,166426
Amazon Video,166426
YouTube,166426
Vudu,166426
Microsoft Store,166426
Redbox,166426
DIRECTV,166426
AMC on Demand,166426
Spectrum On Demand,166426
Apple iTunes,14161
Google Play Movies,14161
Amazon Video,14161
YouTube,14161
Vudu,14161
Microsoft Store,14161
Redbox,14161
DIRECTV,14161
AMC on Demand,14161
Apple iTunes,353081
Google Play Movies,353081
Amazon Video,353081
YouTube,353081
Microsoft Store,353081
Redbox,353081
DIRECTV,353081
AMC on Demand,353081
Apple iTunes,673
Google Play Movies,673
YouTube,673
Vudu,673
Microsoft Store,673
Redbox,673
DIRECTV,673
AMC on Demand,673
Apple iTunes,82992
Google Play Movies,82992
Amazon Video,82992
YouTube,82992
Vudu,82992
Microsoft Store,82992
Redbox,82992
DIRECTV,82992
AMC on Demand,82992
Spectrum On Demand,82992
Apple iTunes,217
Google Play Movies,217
Amazon Video,217
YouTube,217
Vudu,217
Microsoft Store,217
Redbox,217
DIRECTV,217
AMC on Demand,217
Spectrum On Demand,217
Apple iTunes,383498
Google Play Movies,383498
Amazon Video,383498
YouTube,383498
Vudu,383498
Microsoft Store,383498
Redbox,383498
DIRECTV,383498
AMC on Demand,383498
Apple iTunes,558
Google Play Movies,558
Amazon Video,558
YouTube,558
Vudu,558
Microsoft Store,558
Redbox,558
DIRECTV,558
AMC on Demand,558
Apple iTunes,293660
Google Play Movies,293660
Amazon Video,293660
YouTube,293660
Vudu,293660
Microsoft Store,293660
Redbox,293660
DIRECTV,293660
AMC on Demand,293660
Apple iTunes,118340
Google Play Movies,118340
Amazon Video,118340
YouTube,118340
Vudu,118340
Microsoft Store,118340
Redbox,118340
DIRECTV,118340
AMC on Demand,118340
Spectrum On Demand,118340
Apple iTunes,591
Google Play Movies,591
Amazon Video,591
YouTube,591
Vudu,591
Microsoft Store,591
Redbox,591
DIRECTV,591
AMC on Demand,591
Apple iTunes,384018
Google Play Movies,384018
Amazon Video,384018
YouTube,384018
Vudu,384018
Microsoft Store,384018
Redbox,384018
DIRECTV,384018
FlixFling,384018
Alamo on Demand,384018
Apple iTunes,102651
Google Play Movies,102651
Amazon Video,102651
YouTube,102651
Vudu,102651
Microsoft Store,102651
Redbox,102651
DIRECTV,102651
AMC on Demand,102651
Apple iTunes,1930
Google Play Movies,1930
Amazon Video,1930
YouTube,1930
Vudu,1930
Microsoft Store,1930
Redbox,1930
DIRECTV,1930
AMC on Demand,1930
Apple iTunes,49521
Google Play Movies,49521
Amazon Video,49521
YouTube,49521
Vudu,49521
Microsoft Store,49521
Redbox,49521
DIRECTV,49521
AMC on Demand,49521
Spectrum On Demand,49521
Apple iTunes,10192
Google Play Movies,10192
Amazon Video,10192
YouTube,10192
Vudu,10192
Redbox,10192
AMC on Demand,10192
