id_TMDB,id_IMDB,nome,nacionalidade,num_oscars
1802978,,Blythe Jandoo,,0
1606371,nm8034501,Bennett Dammann,,0
1802980,,Chelsea Inez,,0
1802981,nm1735115,Abigayle Honeywill,,0
742,nm0126250,Michael Byrne,"London, England, UK",0
197350,nm0038458,Nelson Ascencio,"L'Avana, Cuba",0
740,nm0002103,Julian Glover,"London, England ",0
2917099,,Gordon Milne,,0
1573614,,David Sardi,,0
2917106,,Elio Lo Tauro,,0
2065138,,Paul King,,0
1213170,nm0374302,Allan Heinberg,"Tulsa, Oklahoma, USA",0
1606394,nm5637553,Laura Harrier," Chicago, Illinois, U.S.",0
1803006,,Leah Hill,,0
1803009,,Selina Hamilton,,0
1803010,,Helen Gulstan,,0
1803014,,Lucy Alexa Gilbert,,0
2622215,nm4253352,Colby Boothman,,0
1803015,nm5965518,Lily Frazer,,0
1803017,,Cj Field,,0
1803018,nm8826357,Cordelia Farnworth,,0
164614,nm0811875,David Sobolov,,0
776,nm0000552,Eddie Murphy,"Brooklyn, New York, USA",0
1803022,,Paige Drury-Lawrence,,0
783,nm0052186,Jonathan Banks,"Washington, District of Columbia, USA",0
1803024,,Natalie Davis,,0
1803026,,Tanya Cumberland,,0
2622227,,William Gary Smith,,0
1344278,nm0014440,Pamela Alch,,0
2622232,,Allan Tam,,0
1803043,,Sophie Carmen-Jones,,0
1835812,,Daisy Doidge-Hill,,0
1278771,nm2154186,Jo Osmond,,0
1278780,nm4786733,Edd Osmond,"Cardiff, Glamorgan, Wales, UK",0
1377087,nm3938797,Emily Peterson,,0
2622281,,Doug Robson,,0
2622283,,Nathan Florence,,0
1803087,,Ava Brennan,,0
1803088,,Daisy Boyles,,0
1803090,,Holly Bluett,,0
1803091,,Koko Basigara,,0
1901395,,Crisian Emanuel,,0
1803095,,Sophie Atkins,,0
1803096,,Gabby Antrobus,,0
1803097,,Rhianne Alleyn,,0
1803098,,Hayley Ainsley,,0
1213271,nm0824800,Suzie Steen,,0
1803100,,Danielle Acors,,0
1803101,,Marina Abdeen,,0
1803102,,Ben Clare,,0
1803104,nm1470702,Tim Stanley,,0
1803105,,Nathan Vaughan Harris,,0
865,nm0000881,Michael Bay,"Los Angeles, California, USA",0
1803111,,Jody Hall,,0
1803112,,Rebecca Mckinnis,,0
1803113,,Dawn Buckland,,0
1803115,,Ellen O'Grady,,0
1803116,,Alison Jenkins,,0
1803117,,Ebony Molina,,0
1803118,,Nicola Keen,,0
1803119,,Freddie August,,0
1803120,,Phil Grannel,,0
1803121,nm7301875,Jak Allen-Anderson,,0
1803122,,William Bozier,,0
1803123,,Tom Oakley,,0
1803124,,Mandy Montanez,,0
1803125,,Beth Willetts,,0
882,nm0000239,Liv Tyler,"New York City, New York, USA",0
886,nm0001209,William Fichtner,"Mitchell Field Air Force Base, East Meadow, Long Island, New York, USA",0
880,nm0000255,Ben Affleck,"Berkeley, California, USA",2
1114996,nm2194066,Garance Mazureck,"Paris, France",0
66441,nm1506908,Talulah Riley,"Hertfordshire, England, UK",0
164758,nm0808865,Justin Smith,Australia,0
99223,nm1518153,Richard Strobel,,0
920,nm0001638,Jürgen Prochnow,"Berlin, Germany",0
1409953,nm1146786,Troy Metcalf,"Columbia, Missouri, USA",0
1442722,nm5609051,John Michael Morris,,0
932,nm0517589,John Logan,"San Diego, California.",0
934,nm0000128,Russell Crowe,"Wellington, New Zealand",1
935,nm0001567,Connie Nielsen,"Elling, Frederikshavn, Denmark",0
938,nm0005023,Djimon Hounsou,"Cotonou, Benin",0
939,nm0774516,David Schofield,"Manchester, Greater Manchester, England, UK",0
941,nm0032962,Tomas Arana,"Auburn, California, USA",0
1573807,nm3037999,Bart Edwards,"Guildford, Surrey, England, UK",0
2229173,,Miles Ellis,,0
955,nm0004851,Penélope Cruz,"Madrid, Spain",1
956,nm0005363,Guy Ritchie,"Hatfield, Hertfordshire, England",0
1246143,,Steven Lewington,,0
975,nm0602941,Nick Moran,"East End, London, England, UK",0
976,nm0005458,Jason Statham,"Shirebrook, Derbyshire, England, UK",0
66525,nm1883803,Jesse Garcia,"Rawlins, Wyoming, USA",0
994,nm0007154,Stephen Marcus,"Portsmouth, Hampshire, England, UK",0
590821,nm2706388,Tara Macken,Kuwait,0
558055,nm1219080,Margaret Laney," Dallas, Texas, USA",0
1770474,,Sanya Hughes,,0
1770475,,Siegfried Peters,,0
1003,nm0000606,Jean Reno,"Casablanca, Morocco",0
1005,nm0032216,Peter Appel,"New York City, New York, USA",0
1019,nm0586568,Mads Mikkelsen,"Copenhagen, Denmark",0
1639432,,Brian Hopson,,0
1246221,nm2335221,Bernadette Lords,"Detroit, Michigan, USA",0
2524177,,Adam Morris,,0
1147921,nm4430776,Pete Meads,"London, England, UK",0
66579,nm0813887,Bonnie Somerville,"Brooklyn, New York, USA",0
1770528,nm5947964,Ella-Rae Smith,,0
1064,nm0000417,Crispin Glover,"New York City, New York, USA",0
1508409,nm0934464,Calvin Wimmer,,0
132157,nm3009232,Ezra Miller,"Wyckoff, New Jersey, USA",0
1101,nm0001835,Carl Weathers,"New Orleans, Louisiana, USA",0
1108,nm0000948,Shane Black,"Pittsburgh, Pennsylvania, USA",0
590938,nm4471295,Santi Scinelli ,,0
132187,nm3224455,Don Jeanes,,0
1115,nm0334318,Stephen Graham,"Kirkby, Lancashire, England, UK",0
66653,nm0199637,Gregg Daniel,,0
1118,nm0784884,Rade Šerbedžija,"Bunić, Croatia",0
1121,nm0001125,Benicio del Toro,"San Germán, Puerto Rico",1
1123,nm0065874,Andy Beckwith,,0
1125,nm0001971,Ewen Bremner,"Edinburgh, Scotland, UK",0
66668,nm1259016,Steve DeCastro,,0
2622585,,Sussanah Madden,,0
1146,nm0000365,Julie Delpy,"Paris, France",0
2622589,,Sophie Massey Broadbery,,0
