nome_franquia,id_filme_TMDB
Black Panther Collection,479455
Demon Slayer - Movie Collection,320288
Mr. Bean Collection,1281
Planet of the Apes (Reboot) Collection,10009
Zorro Collection,9342
Space Jam Collection,2300
Red Cliff Collection,12289
Alice in Wonderland Collection,565
Blair Witch Collection,2667
Now You See Me Collection,109451
Dumb and Dumber Collection,8467
Grown Ups Collection,109418
Alice in Wonderland Collection,308531
Armour of God Collection,238
Rush Hour Collection,2109
Kung Fu Panda Collection,196
Now You See Me Collection,22794
Home Alone Collection,274167
Now You See Me Collection,12154
Hobbs & Shaw Collection,14306
Resident Evil Collection,71679
Die Hard Collection,1573
Crocodile Dundee Collection,9396
Crazy Rich Asians Collection,455207
Batman Collection,415
Saturday Night Fever Collection,11009
Dumb and Dumber Collection,584
Ice Age,644
American Pie Collection,2105
American Pie Collection,71552
Alice in Wonderland Collection,258509
Cruella Collection,337404
Demon Slayer - Movie Collection,65754
Planet of the Apes (Reboot) Collection,126889
Mr. Bean Collection,1268
Sister Act Collection,2005
American Pie Collection,8273
Annabelle Collection,521029
Ghost Rider Collection,1250
Lethal Weapon Collection,942
Alice in Wonderland Collection,346648
The Boss Baby Collection,339403
Taken Collection,8681
Jack Reacher Collection,32657
Chicken Run Collection,7443
Chronicle Collection,628
Planet of the Apes (Reboot) Collection,9354
Demon Slayer - Movie Collection,4256
The Robert Langdon Collection,207932
Planes Collection,151960
Knocked Up Collection,4964
Jack Reacher Collection,75780
Jack Reacher Collection,9331
Ted Collection,214756
Ghost Rider Collection,2978
Creed Collection,480530
The Bourne Collection,2501
Alice in Wonderland Collection,88
Jungle Cruise Collection,451048
Alice in Wonderland Collection,146
Ace Ventura Collection,9273
Miss Congeniality Collection,1493
Bridget Jones Collection,95610
Now You See Me Collection,10144
James Bond,698
The Boss Baby Collection,51540
The Hannibal Lecter Collection,9533
Lost Collection,151743
Dumb and Dumber Collection,9799
Sister Act Collection,72571
The Expendables Collection,138103
Jungle Cruise Collection,9325
Has Fallen Collection,267860
A Dog's Purpose Collection,381289
The Addams Family (Animated) Collection,481084
Alice in Wonderland Collection,1498
Alice in Wonderland Collection,951
DC Extended Universe,495764
Jump Street Collection,64688
Garfield Collection,8920
Jack Reacher Collection,1669
Planet of the Apes (Reboot) Collection,513434
Jack Reacher Collection,76285
Alice in Wonderland Collection,423108
Deep Blue Sea Collection,7484
The Smurfs (Theatrical) Collection,137116
Spy Kids Collection,12279
James Bond,699
Sister Act Collection,23827
Alice in Wonderland Collection,381902
The Equalizer Collection,156022
The Addams Family (Animated) Collection,2907
James Bond,708
Demon Slayer - Movie Collection,280217
Dragon Ball Super Collection,8536
Man of Steel Collection,9383
Planet of the Apes (Reboot) Collection,11007
The Santa Clause Collection,11395
Hobbs & Shaw Collection,45772
The X Files Collection,846
Rambo Collection,1370
Jump Street Collection,187017
Jaws Collection,579
James Bond,700
Alice in Wonderland Collection,19912
Atlantis Collection,10865
Man of Steel Collection,388
James Bond,691
Pitch Perfect Collection,353616
Bad Boys Collection,376659
Aladdin (Live-Action) Collection,10481
The Grudge Collection,1970
Alien Collection,679
Beverly Hills Cop Collection,14560
Wayne's World Collection,8872
Grease Collection,621
Demon Slayer - Movie Collection,11024
Hot Shots! Collection,9595
Kill Bill Collection,24
Home Alone Collection,419680
Divergent Collection,262504
City Slickers Collection,1406
Demon Slayer - Movie Collection,4257
Jack Reacher Collection,9869
Sister Act Collection,41436
AVP Collection,395
Ice Age,9386
Analyze Collection,9535
Hitman Collection,390043
Alice in Wonderland Collection,262391
Dr. Dolittle Collection,10808
Thor,120467
Jungle Cruise Collection,10603
Almighty Collection,2698
Big Momma's House Collection,9600
Anchorman Collection,109443
Creed Collection,312221
Scream Collection,4232
The Santa Clause Collection,9021
Scream Collection,4233
John Wick Collection,324552
Armour of God Collection,98567
Bayside Shakedown Collection,55384
Stuart Little Collection,10996
Dumb and Dumber Collection,100042
The Emperor's New Groove Collection,11688
The Croods Collection,529203
Suicide Squad Collection,436969
DC Extended Universe,436969
Magic Mike Collection,77930
Insidious Collection,406563
Marvel Cinematic Universe,524434
Alice in Wonderland Collection,9880
Alice in Wonderland Collection,9334
The Muppets Collection,64328
Wonder Woman Collection,464052
DC Extended Universe,464052
The Huntsman Collection,290595
Deep Blue Sea Collection,8914
Speed Collection,1639
Independence Day Collection,10708
Saw Collection,214
Marvel Cinematic Universe,1724
Pokémon Collection,12599
Pokémon Collection,10228
Unbroken Collection,227306
Jack Reacher Collection,343611
Alien Collection,8078
Scream Collection,4234
James Bond,253
Alice in Wonderland Collection,10320
Has Fallen Collection,117263
Insidious Collection,91586
John Wick Collection,9486
Predator Collection,346910
Hellboy Collection,11253
Under Siege Collection,52520
Tomb Raider Collection,1996
John Wick Collection,58233
James Bond,58233
James Bond,36670
Alien Collection,8077
Alice in Wonderland Collection,9277
Knocked Up Collection,41233
Planet of the Apes (Reboot) Collection,300669
Alice in Wonderland Collection,12096
Alice in Wonderland Collection,187
Dumb and Dumber Collection,9615
John Wick Collection,463272
Goosebumps Collection,257445
Alice in Wonderland Collection,55779
Man of Steel Collection,365222
Under Siege Collection,8845
James Bond,709
Rocky Collection,1246
Escape Room Collection,522681
The Accountant Collection,302946
Pet Sematary Reboot Collection,412117
Blade Collection,36586
Ride Along Collection,168530
Free Guy Collection,1634
48 Hrs. Collection,11595
Alice in Wonderland Collection,927
Pet Sematary Reboot Collection,522478
Saw Collection,215
James Bond,707
Backdraft Collection,2924
Kill Bill Collection,393
Planes Collection,218836
Alice in Wonderland Collection,64686
Knocked Up Collection,8328
Happy Feet Collection,65759
Star Trek: Alternate Reality Collection,199
Beverly Hills Cop Collection,14405
Knocked Up Collection,9408
Knives Out Collection,345911
Space Jam Collection,379686
Resident Evil Collection,7737
RED Collection,146216
Spy Kids Collection,10054
Beethoven Collection,11806
Has Fallen Collection,423204
Ice Age,423204
Chronicle Collection,76726
Sister Act Collection,82990
Zorro Collection,1656
Legally Blonde Collection,8835
Garfield Collection,9513
Bad Boys Collection,9737
Demon Slayer - Movie Collection,4248
James Bond,660
Die Hard Collection,562
Knocked Up Collection,85446
SpongeBob Collection,11836
American Pie Collection,838
Saw Collection,663
Alice in Wonderland Collection,152
Big Momma's House Collection,11565
The Purge Collection,442249
Hot Shots! Collection,74534
Armour of God Collection,242
Saw Collection,41439
Anaconda Collection,9360
Jungle Cruise Collection,14873
Jump Street Collection,33909
Alice in Wonderland Collection,11130
Inspector Gadget Collection,332
Hot Shots! Collection,9255
Alice in Wonderland Collection,168
Hobbs & Shaw Collection,2395
Ghost Rider Collection,71676
Save The Last Dance Collection,9816
The Angry Birds Collection,454640
Blade Collection,36647
Thor,4347
Bad Boys Collection,431530
The Karate Kid Collection,1885
AVP Collection,440
