nome_genero,id_filme_TMDB
Família,953
Animação,953
Aventura,953
Comédia,953
Animação,62177
Aventura,62177
Comédia,62177
Família,62177
Ação,62177
Fantasia,62177
Aventura,1891
Ação,1891
Ficção científica,1891
Família,20352
Animação,20352
Comédia,20352
Faroeste,281957
Drama,281957
Aventura,281957
Ação,72190
Drama,72190
Terror,72190
Ficção científica,72190
Thriller,72190
Ação,345940
Ficção científica,345940
Terror,345940
Família,404368
Animação,404368
Comédia,404368
Aventura,404368
Ação,124905
Drama,124905
Ficção científica,124905
Família,400155
Fantasia,400155
Comédia,400155
Animação,400155
Animação,35
Comédia,35
Família,35
Guerra,374720
Ação,374720
Drama,374720
Ação,10528
Aventura,10528
Crime,10528
Mistério,10528
Animação,10681
Família,10681
Ficção científica,10681
Ação,140300
Aventura,140300
Animação,140300
Comédia,140300
Família,140300
Ação,280
Thriller,280
Ficção científica,280
Ficção científica,102899
Ação,102899
Aventura,102899
Animação,166428
Família,166428
Aventura,166428
Comédia,693
Romance,693
Animação,360920
Família,360920
Comédia,360920
Fantasia,360920
Fantasia,251
Drama,251
Thriller,251
Mistério,251
Romance,251
Animação,812
Família,812
Aventura,812
Fantasia,812
Romance,812
Animação,635302
Ação,635302
Aventura,635302
Fantasia,635302
Família,172385
Aventura,172385
Comédia,172385
Animação,172385
Animação,295693
Comédia,295693
Família,295693
Aventura,652
História,652
Guerra,652
Animação,863
Comédia,863
Família,863
Fantasia,10191
Aventura,10191
Animação,10191
Família,10191
Ação,664
Aventura,664
Drama,664
Aventura,18823
Fantasia,18823
Ação,18823
Fantasia,68728
Aventura,68728
Família,68728
Família,420809
Fantasia,420809
Aventura,420809
Drama,281338
Ficção científica,281338
Guerra,281338
Animação,808
Comédia,808
Fantasia,808
Aventura,808
Família,808
Thriller,13448
Mistério,13448
Animação,46195
Aventura,46195
Comédia,46195
Família,46195
Fantasia,310
Comédia,310
Thriller,61791
Ação,61791
Drama,61791
Ficção científica,61791
Drama,857
História,857
Guerra,857
Ação,787
Comédia,787
Drama,787
Thriller,787
Ficção científica,98566
Ação,98566
Aventura,98566
Comédia,98566
Comédia,771
Família,771
Aventura,118
Comédia,118
Família,118
Fantasia,118
Aventura,89
Ação,89
Ação,254128
Drama,254128
Thriller,254128
Família,159824
Animação,159824
Comédia,159824
Fantasia,159824
Terror,474350
Fantasia,474350
Família,82690
Animação,82690
Comédia,82690
Aventura,82690
Terror,578
Thriller,578
Aventura,578
Comédia,18785
Aventura,137106
Animação,137106
Comédia,137106
Família,137106
Fantasia,137106
Ação,424783
Aventura,424783
Ficção científica,424783
Ação,399566
Aventura,399566
Fantasia,399566
Ação,54138
Aventura,54138
Ficção científica,54138
Ação,98
Drama,98
Aventura,98
Ação,603
Ficção científica,603
Romance,114
Comédia,114
Animação,920
Aventura,920
Comédia,920
Família,920
Guerra,508935
História,508935
Drama,508935
Ação,508935
Aventura,36668
Ação,36668
Ficção científica,36668
Thriller,36668
Ação,6637
Aventura,6637
Mistério,6637
Thriller,6637
Ação,240832
Ficção científica,240832
Aventura,954
Ação,954
Thriller,954
Drama,616
Ação,616
Guerra,616
História,616
Thriller,161
Crime,161
Aventura,10195
Fantasia,10195
Ação,10195
Ação,676
Guerra,676
História,676
Romance,676
Drama,676
Comédia,313369
Drama,313369
Romance,313369
Música,313369
Família,37135
Aventura,37135
Animação,37135
Drama,37135
Ação,608
Aventura,608
Comédia,608
Ficção científica,608
Ação,449927
Crime,449927
História,449927
Aventura,1734
Ação,1734
Fantasia,1734
Comédia,23398
Família,23398
Animação,23398
Fantasia,23398
Música,23398
Ação,2503
Drama,2503
Mistério,2503
Thriller,2503
